Spec Sec,Type of,Feature/Function,Test Area,Test Case (Description),Precondition,Test Procedures (Steps),Expected Results,Created By,Automated by,Fully Automatable,Result,Prority,Notes,Observations,,
,Positive,View Settings Window,GMC-108,Wifi Check-in interval,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Wifi check in interval for selected sensor under EM Parameters",User should able to see Wi-fi Check-in interval in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-109,LBI Value,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Wifi check in interval for selected sensor under EM Parameters",User should able to see LBI value in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-110,Wifi Module Version,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check Wifi module version for selected sensor under EM Parameters",User should able to see Wifi module version in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-111,BLE UUID,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for BLE UUID under BLE Configuration",Window should show BLE UUID for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-112,BLE Major-Minor version,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Major-Minor under BLE Configuration",Window should show proper BLE Major-Minor version for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-113,BLE Beacon rate,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Beacon rate under BLE Configuration",Window should show BLE Beacon rate for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-114,DHCP State,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for DHCP under Network settings",User should able to see DHCP state for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-115,Static IP,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Static IP under Network settings",User should able to see Static IP for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-116,Subnet,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Subnet under Network settings",User should able to see Subnet for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-117,Gateway,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Gateway under Network settings",User should able to see Gateway IP for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-118,DNS,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for DNS under Network settings",User should able to see DNS information for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-119,Server IP,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Server IP under Network settings",User should able to see Server IP for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-120,Security type,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Security Type under Network Settings",User should able to see Security type for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-121,EAP Method,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for EAP Method under Network Settings",User should able to see EAP method for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-122,SSID,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for SSID under Network Settings",User should able to see proper SSID for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-123,Username,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Username under Network Settings",User should able to see Username for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-124,Wifi Channels,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Channels under Wifi CCX Channels",User should able to see selected Wifi channels for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-125,Wifi Bitrate,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Bitrate under Wifi CCX Channels",User should able to see Wifi bitrate for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-126,Wifi TX Power,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for TX Power under Wifi CCX Channels",User should able to see Wifi TX Power for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-127,Wifi Retry count,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Retry under Wifi CCX Channels",User should able to see Wifi retry count for selected sensor in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-128,Display Status,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Display status under Display Settings",User should able to see proper display orientation in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-129,Probe ID for Probe 1 ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Probe Id corresponds to Probe 1 under Probe information",User should able to see Probe Id for Probe 1 in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-130,Probe Type for Probe 1 ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Probe type corresponds to Probe 1 under Probe information",User should able to see Probe type for Probe 1 in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-131,Certified Date for Probe 1 ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Certified Date corresponds to Probe 1 under Probe information",User should able to see Certified date for Probe 1 in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-132,Resisitor Value for Probe 1 ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Resistor value corresponds to Probe 1 under Probe information",User should able to see resistor value for Probe 1 in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-133,Offset Value for Probe 1 ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Offset value corresponds to Probe 1 under Probe information",User should able to see offset value for Probe 1 in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-134,Offset Temp for Probe 1 ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Offset Temp corresponds to Probe 1 under Probe information",User should able to see offset temp for Probe 1 in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-135,Probe ID for Probe 2 ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Probe Id corresponds to Probe 2 under Probe information",User should able to see Probe Id for Probe 2 in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-136,Probe Type for Probe 2,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Probe type corresponds to Probe 2 under Probe information",User should able to see Probe type for Probe 2 in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-137,Certified Date for Probe 2 ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Certified Date corresponds to Probe 2 under Probe information",User should able to see Certified date for Probe 2 in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-138,Resistor Value for Probe 2 ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Resistor value corresponds to Probe 2 under Probe information",User should able to see resistor value for Probe 2 in read only mode,,,,,,,,,
,Positive,View Settings Window,GMC-139,Offset Value for Probe 2 ,None,"1. Open Andriod G4 EM Manager app in mobile phone.
2. Scan for device and connect
3. Click on View Settings
4. Check for Offset value corresponds to Probe 2 under Probe information",User should able to see offset value for Probe 2 in read only mode,,,,,,,,,
,Positive,G4 Communication mode,CLC-01,Communication mode as 900MHz,None,"1. Open CoreLive
2. Select a sensor to configure-> Right click -> Click on Tag Profile
3. Choose 900 MHz under Mode",CoreLive Server should support setting communication mode to 900 Mhz,,,,,,,,,
,Positive,G4 Communication mode,CLC-02,Communication mode as Wifi CCX,None,"1. Open CoreLive
2. Select a sensor to configure-> Right click -> Click on Tag Profile
3. Choose Wifi CCX under Mode",CoreLive Server should support setting communication mode to Wifi CCX,,,,,,,,,
,Positive,G4 Communication mode,CLC-03,Communication mode as Wifi ACX,None,"1. Open CoreLive
2. Select a sensor to configure-> Right click -> Click on Tag Profile
3. Choose Wifi ACX under Mode",CoreLive Server should support setting communication mode to Wifi ACX,,,,,,,,,
,Positive,G4 Communication mode,CLC-04,Communication mode as Wifi TCP,None,"1. Open CoreLive
2. Select a sensor to configure-> Right click -> Click on Tag Profile
3. Choose Wifi TCP under Mode",CoreLive Server should support setting communication mode to Wifi TCP,,,,,,,,,
,Positive,G4 Sensor Alarms,CLC-05,Setting Alarm volume to 1,None,"1. Open CoreLive
2. Select a sensor to configure-> Right click -> Click on Tag Profile
3. Choose 1 under Alram volume -> Save",The device should generate alarm sound at the exact volume level specified in settings,,,,,,,,,
